line,shift,defective
Line_B,day,0
Line_C,day,0
Line_C,night,1
Line_D,night,1
Line_B,night,0
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_B,night,0
Line_A,day,0
Line_A,day,0
Line_D,day,0
Line_D,night,0
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_B,day,0
Line_C,night,0
Line_C,day,0
Line_A,day,0
Line_D,day,0
Line_C,night,0
Line_B,day,1
Line_C,night,1
Line_B,night,0
Line_A,night,0
Line_B,night,0
Line_C,day,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_D,day,0
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_B,night,0
Line_A,day,0
Line_B,night,0
Line_B,day,0
Line_C,night,0
Line_C,day,0
Line_A,night,0
Line_B,night,0
Line_C,day,0
Line_B,day,0
Line_D,day,0
Line_C,day,1
Line_A,night,0
Line_A,night,0
Line_C,night,0
Line_A,day,0
Line_B,night,0
Line_D,night,0
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_B,night,0
Line_B,night,0
Line_D,night,0
Line_B,day,1
Line_D,night,0
Line_D,night,1
Line_A,night,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_C,day,1
Line_A,night,0
Line_B,night,0
Line_D,night,1
Line_A,night,0
Line_D,night,1
Line_A,day,1
Line_A,day,0
Line_C,day,0
Line_C,night,0
Line_D,day,0
Line_C,night,0
Line_D,night,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_D,day,0
Line_D,day,0
Line_B,day,0
Line_B,night,0
Line_C,night,0
Line_B,day,0
Line_D,night,0
Line_D,day,0
Line_B,night,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_D,day,0
Line_B,day,0
Line_D,day,0
Line_B,day,0
Line_D,day,0
Line_B,day,0
Line_A,day,0
Line_D,night,0
Line_A,day,0
Line_B,day,0
Line_D,night,0
Line_D,day,0
Line_B,day,0
Line_C,night,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_C,night,0
Line_C,day,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_B,night,0
Line_A,night,0
Line_B,night,0
Line_B,night,0
Line_D,night,0
Line_B,day,0
Line_A,day,0
Line_A,night,0
Line_C,night,0
Line_C,day,0
Line_A,night,0
Line_A,day,0
Line_C,night,0
Line_A,day,0
Line_D,day,0
Line_C,day,0
Line_A,day,0
Line_A,night,0
Line_D,night,0
Line_B,night,0
Line_B,day,0
Line_D,night,0
Line_D,night,0
Line_D,night,0
Line_C,day,0
Line_B,day,0
Line_A,night,0
Line_C,day,0
Line_B,night,0
Line_B,night,0
Line_D,day,0
Line_A,night,0
Line_B,day,0
Line_A,night,0
Line_B,day,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_C,day,0
Line_B,day,0
Line_D,day,0
Line_B,night,0
Line_A,night,0
Line_D,day,0
Line_A,day,0
Line_D,day,0
Line_A,day,0
Line_D,day,0
Line_A,night,0
Line_D,day,0
Line_B,day,0
Line_D,night,0
Line_A,day,0
Line_B,day,0
Line_D,night,0
Line_B,night,0
Line_C,night,0
Line_C,night,0
Line_B,day,0
Line_C,night,0
Line_B,day,0
Line_D,night,0
Line_A,night,0
Line_A,night,0
Line_D,day,0
Line_D,night,0
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_A,day,0
Line_B,day,0
Line_B,night,0
Line_B,day,0
Line_A,night,0
Line_D,night,0
Line_D,night,0
Line_C,day,0
Line_B,night,1
Line_B,day,0
Line_D,day,1
Line_C,day,1
Line_A,day,0
Line_D,night,0
Line_D,day,0
Line_D,night,0
Line_C,night,0
Line_C,day,0
Line_B,night,0
Line_D,night,0
Line_D,day,0
Line_A,day,0
Line_A,day,0
Line_B,day,0
Line_D,day,0
Line_D,day,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_D,night,0
Line_D,day,0
Line_D,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_D,day,0
Line_D,day,0
Line_D,night,1
Line_D,day,0
Line_B,day,0
Line_C,day,0
Line_D,day,0
Line_D,day,0
Line_A,day,0
Line_B,day,0
Line_A,day,0
Line_D,day,0
Line_C,night,0
Line_A,day,0
Line_C,day,0
Line_C,day,0
Line_B,day,0
Line_A,night,0
Line_C,day,0
Line_B,day,0
Line_C,day,0
Line_B,night,0
Line_D,night,1
Line_B,night,0
Line_B,day,0
Line_D,night,0
Line_B,day,0
Line_A,day,0
Line_A,night,0
Line_C,night,0
Line_C,night,0
Line_C,night,0
Line_A,night,0
Line_A,night,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_B,day,0
Line_B,night,0
Line_D,day,0
Line_B,day,0
Line_B,night,0
Line_C,night,0
Line_B,night,0
Line_C,day,0
Line_D,day,0
Line_D,day,0
Line_A,day,0
Line_D,day,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_D,day,0
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_A,night,0
Line_B,night,0
Line_D,day,0
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_A,night,0
Line_A,night,0
Line_B,night,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_C,day,0
Line_C,day,0
Line_A,night,0
Line_D,day,0
Line_D,night,0
Line_A,night,0
Line_A,night,0
Line_D,night,0
Line_C,day,0
Line_A,day,0
Line_A,night,1
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_B,night,1
Line_B,day,0
Line_C,night,0
Line_A,day,0
Line_A,day,0
Line_C,day,0
Line_D,day,0
Line_B,night,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_B,night,0
Line_A,day,0
Line_A,night,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_A,day,0
Line_B,night,0
Line_A,night,0
Line_D,day,0
Line_B,night,0
Line_C,night,1
Line_C,night,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_B,night,0
Line_C,night,0
Line_B,night,0
Line_A,night,0
Line_A,day,0
Line_B,day,0
Line_C,night,0
Line_B,day,0
Line_B,day,0
Line_D,night,0
Line_C,day,0
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_D,day,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_D,day,0
Line_A,day,0
Line_B,day,0
Line_D,day,0
Line_D,day,0
Line_D,night,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_D,night,0
Line_B,night,0
Line_B,day,0
Line_A,day,0
Line_C,day,0
Line_A,night,0
Line_B,day,0
Line_B,day,0
Line_B,night,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_A,night,0
Line_B,night,0
Line_A,night,0
Line_B,day,0
Line_B,day,0
Line_A,night,0
Line_B,day,0
Line_A,night,0
Line_A,night,0
Line_D,day,0
Line_B,day,1
Line_D,night,1
Line_A,night,0
Line_C,day,0
Line_C,day,0
Line_B,night,0
Line_B,day,0
Line_B,night,0
Line_B,day,0
Line_D,day,0
Line_D,day,0
Line_D,day,0
Line_A,day,0
Line_C,day,0
Line_D,day,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_B,day,0
Line_D,day,0
Line_A,day,0
Line_C,day,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_D,day,0
Line_C,day,0
Line_B,day,0
Line_B,night,0
Line_D,night,0
Line_B,day,1
Line_D,day,0
Line_B,day,0
Line_B,night,0
Line_B,day,0
Line_B,night,0
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_D,night,0
Line_B,day,0
Line_B,day,0
Line_D,day,0
Line_C,night,0
Line_A,day,0
Line_D,night,0
Line_C,day,0
Line_B,day,0
Line_A,night,0
Line_C,night,0
Line_C,night,0
Line_B,night,0
Line_D,night,0
Line_C,day,0
Line_A,day,0
Line_B,night,0
Line_A,night,0
Line_C,day,0
Line_A,day,0
Line_B,night,0
Line_C,day,1
Line_D,night,1
Line_B,day,0
Line_D,day,0
Line_A,day,0
Line_D,night,0
Line_A,night,0
Line_B,night,0
Line_C,day,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_C,night,0
Line_C,day,0
Line_C,day,0
Line_B,day,0
Line_A,night,0
Line_B,day,0
Line_A,night,0
Line_D,night,0
Line_B,day,0
Line_B,day,0
Line_B,day,0
Line_D,day,0
Line_A,day,0
Line_B,night,0
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_D,day,0
Line_D,night,0
Line_B,day,0
Line_C,day,1
Line_D,day,1
Line_C,day,0
Line_A,day,0
Line_B,day,0
Line_C,night,0
Line_B,day,0
Line_C,night,0
Line_D,day,0
Line_D,day,0
Line_B,day,0
Line_A,night,0
Line_D,day,0
Line_D,day,0
Line_A,day,0
Line_D,night,0
Line_D,night,0
Line_B,night,1
Line_B,day,0
Line_B,night,0
Line_A,day,0
Line_B,night,0
Line_D,night,0
Line_A,day,0
Line_B,night,0
Line_B,day,0
Line_B,day,0
Line_D,day,0
Line_B,night,1
Line_B,day,0
Line_C,day,0
Line_B,night,0
Line_A,day,0
Line_B,day,0
Line_A,night,0
Line_A,day,0
Line_B,night,0
Line_B,day,1
Line_D,night,1
Line_B,night,0
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_C,night,0
Line_A,day,0
Line_D,night,0
Line_A,day,0
Line_B,day,0
Line_A,night,0
Line_D,night,0
Line_B,night,0
Line_B,day,0
Line_A,day,0
Line_C,night,0
Line_A,day,0
Line_D,day,0
Line_A,night,0
Line_A,night,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_C,night,0
Line_B,night,0
Line_B,night,0
Line_B,day,0
Line_B,night,0
Line_B,day,0
Line_A,day,0
Line_A,night,0
Line_D,night,0
Line_D,day,0
Line_B,night,0
Line_A,day,0
Line_C,day,0
Line_B,night,0
Line_A,night,0
Line_A,night,0
Line_C,day,0
Line_C,day,0
Line_A,night,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_A,day,0
Line_A,day,0
Line_C,night,1
Line_A,night,0
Line_C,day,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_D,night,0
Line_D,day,0
Line_B,day,0
Line_C,night,0
Line_A,night,1
Line_A,day,0
Line_D,day,0
Line_A,day,1
Line_A,night,0
Line_A,day,0
Line_A,night,0
Line_A,night,0
Line_B,day,0
Line_B,night,0
Line_D,day,0
Line_D,night,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_C,night,0
Line_B,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_D,day,0
Line_C,night,0
Line_A,night,0
Line_D,day,0
Line_B,day,0
Line_D,day,0
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_B,day,0
Line_C,night,1
Line_A,night,0
Line_A,day,0
Line_D,day,0
Line_D,day,0
Line_B,night,1
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_D,day,0
Line_A,night,0
Line_B,night,0
Line_A,day,0
Line_B,night,0
Line_C,day,0
Line_D,day,0
Line_A,day,0
Line_A,night,0
Line_A,night,0
Line_D,day,0
Line_D,day,0
Line_B,night,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_D,day,0
Line_B,night,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_A,night,0
Line_C,day,0
Line_A,day,0
Line_C,day,0
Line_A,night,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_C,night,0
Line_A,night,0
Line_B,day,0
Line_B,night,1
Line_C,day,0
Line_D,day,0
Line_C,day,0
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_B,day,0
Line_A,night,0
Line_B,day,0
Line_B,day,0
Line_B,night,0
Line_C,night,0
Line_A,day,0
Line_A,night,0
Line_C,night,0
Line_B,day,0
Line_C,night,0
Line_B,day,0
Line_A,night,0
Line_D,day,0
Line_C,night,0
Line_C,night,0
Line_A,night,0
Line_B,day,0
Line_B,night,0
Line_A,day,0
Line_D,day,0
Line_A,day,0
Line_D,day,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_D,night,0
Line_C,night,1
Line_D,day,0
Line_C,night,1
Line_C,day,0
Line_D,day,0
Line_A,day,0
Line_B,night,0
Line_A,day,0
Line_D,night,0
Line_D,day,0
Line_A,day,0
Line_C,day,0
Line_D,night,0
Line_A,day,0
Line_B,day,0
Line_D,day,0
Line_A,day,0
Line_C,night,0
Line_A,day,0
Line_D,night,0
Line_D,day,0
Line_D,night,0
Line_B,day,0
Line_D,day,0
Line_D,day,0
Line_B,day,0
Line_D,night,0
Line_A,night,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_C,day,0
Line_B,night,0
Line_C,day,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_C,night,0
Line_B,day,0
Line_C,night,0
Line_D,day,0
Line_C,night,0
Line_A,day,0
Line_A,night,0
Line_D,night,0
Line_A,day,0
Line_D,day,0
Line_B,day,0
Line_D,day,0
Line_C,day,0
Line_D,day,0
Line_B,night,0
Line_C,night,1
Line_B,night,0
Line_B,night,1
Line_C,day,0
Line_D,night,0
Line_D,day,0
Line_C,day,0
Line_B,night,0
Line_B,night,0
Line_C,night,0
Line_A,night,0
Line_A,night,0
Line_B,night,0
Line_A,day,0
Line_A,day,0
Line_A,night,1
Line_A,night,0
Line_A,night,0
Line_D,night,0
Line_B,night,0
Line_B,night,0
Line_C,day,0
Line_A,night,0
Line_D,night,0
Line_C,day,0
Line_A,night,0
Line_B,day,0
Line_D,day,0
Line_D,day,0
Line_B,day,0
Line_C,day,0
Line_A,day,0
Line_D,night,0
Line_A,day,0
Line_D,night,0
Line_C,day,0
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_B,day,0
Line_A,night,0
Line_D,day,0
Line_D,day,0
Line_D,night,0
Line_D,night,0
Line_A,night,1
Line_B,night,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_D,night,0
Line_A,day,0
Line_A,day,0
Line_B,night,0
Line_B,day,0
Line_B,day,0
Line_A,night,0
Line_D,day,0
Line_A,day,0
Line_A,night,0
Line_D,night,0
Line_D,day,0
Line_D,night,0
Line_D,night,0
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_C,day,0
Line_B,night,0
Line_A,day,0
Line_A,day,0
Line_C,day,0
Line_A,night,0
Line_D,day,0
Line_B,day,1
Line_B,day,0
Line_B,day,0
Line_D,night,0
Line_B,day,0
Line_C,night,0
Line_B,night,0
Line_A,day,0
Line_D,night,0
Line_C,night,0
Line_C,day,0
Line_D,night,0
Line_D,night,0
Line_C,night,0
Line_D,day,0
Line_C,night,0
Line_C,night,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_D,day,0
Line_D,night,0
Line_A,day,0
Line_D,day,0
Line_A,day,0
Line_B,night,0
Line_C,night,0
Line_A,night,0
Line_D,day,0
Line_D,night,0
Line_B,day,0
Line_A,night,1
Line_A,night,0
Line_C,day,0
Line_D,day,0
Line_C,night,0
Line_A,day,0
Line_C,day,0
Line_B,day,1
Line_C,day,0
Line_A,night,0
Line_C,day,0
Line_B,day,0
Line_D,night,1
Line_B,night,0
Line_C,day,0
Line_D,night,0
Line_A,day,0
Line_D,day,0
Line_C,night,0
Line_A,day,0
Line_B,day,0
Line_C,day,0
Line_A,day,0
Line_B,night,0
Line_B,night,0
Line_C,day,0
Line_A,day,0
Line_D,night,1
Line_D,day,0
Line_D,day,0
Line_C,day,0
Line_A,day,0
Line_C,night,0
Line_A,day,0
Line_A,day,0
Line_B,day,0
Line_B,night,0
Line_C,night,0
Line_C,night,0
Line_B,day,0
Line_A,night,1
Line_D,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_C,night,0
Line_C,day,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_C,day,0
Line_A,night,1
Line_D,night,0
Line_A,night,0
Line_B,night,0
Line_D,night,0
Line_B,night,1
Line_C,day,0
Line_B,day,0
Line_A,day,0
Line_D,day,0
Line_B,day,0
Line_D,day,0
Line_A,day,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_B,day,0
Line_D,day,0
Line_B,night,0
Line_D,night,0
Line_A,day,0
Line_D,day,0
Line_C,day,0
Line_C,night,1
Line_D,day,0
Line_C,day,0
Line_C,night,0
Line_A,night,0
Line_A,day,0
Line_D,day,0
Line_C,day,1
Line_C,night,1
Line_B,night,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_B,day,0
Line_A,night,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_A,day,0
Line_C,night,0
Line_B,night,0
Line_B,day,0
Line_A,day,0
Line_A,night,0
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_A,day,0
Line_C,night,0
Line_D,day,0
Line_C,day,0
Line_A,night,0
Line_B,day,0
Line_A,day,0
Line_A,night,0
Line_D,day,0
Line_A,day,0
Line_B,day,0
Line_C,day,0
Line_C,night,0
Line_B,night,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_A,night,0
Line_A,day,0
Line_B,day,0
Line_A,day,0
Line_B,night,0
Line_C,day,0
Line_D,day,0
Line_A,night,0
Line_A,night,0
Line_A,night,0
Line_C,day,0
Line_C,night,0
Line_A,day,0
Line_D,day,0
Line_A,day,0
Line_B,day,0
Line_C,night,0
Line_D,day,0
Line_C,day,0
Line_D,day,0
Line_B,day,1
Line_D,day,0
Line_A,day,0
Line_D,night,1
Line_B,day,0
Line_D,night,1
Line_B,day,0
Line_C,day,0
Line_B,night,0
Line_C,night,0
Line_A,day,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_D,day,0
Line_A,night,0
Line_D,day,0
Line_B,day,0
Line_A,day,0
Line_C,night,0
Line_C,night,0
Line_B,day,0
Line_B,day,0
Line_C,night,0
Line_A,day,0
Line_D,night,0
Line_D,day,0
Line_C,day,0
Line_A,day,0
Line_C,day,0
Line_A,day,0
Line_A,night,1
Line_A,day,0
Line_B,night,0
Line_D,day,0
Line_C,day,0
Line_C,day,0
Line_B,night,0
Line_B,day,0
Line_B,night,0
Line_D,night,0
Line_A,day,0
Line_D,night,0
Line_B,night,0
Line_B,night,0
Line_C,day,0
Line_B,day,0
Line_D,day,0
Line_D,day,0
Line_B,night,0
Line_A,night,0
Line_B,night,0
Line_D,day,0
Line_A,day,0
Line_C,day,0
Line_C,night,0
Line_C,day,0
Line_A,night,0
Line_C,night,0
Line_D,day,0
Line_A,day,0
Line_A,night,0
Line_D,day,0
Line_A,day,0
Line_D,night,0
Line_B,day,0
Line_A,night,0
Line_D,night,0
Line_B,night,0
Line_B,night,0
Line_B,night,0
Line_B,day,0
Line_A,night,0
Line_B,night,0
Line_D,day,0
Line_A,night,0
Line_C,day,0
Line_B,day,0
Line_C,day,0
Line_A,day,0
Line_D,day,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_A,night,0
Line_B,day,0
Line_B,night,0
Line_D,day,0
Line_B,night,0
Line_A,day,0
Line_C,night,0
Line_C,day,0
Line_A,night,0
Line_A,day,0
Line_A,day,0
Line_C,night,0
Line_C,day,0
Line_B,night,1
Line_D,day,1
Line_D,night,0
Line_B,night,0
Line_D,day,0
Line_A,night,0
Line_A,day,0
Line_A,night,0
Line_A,night,0
Line_B,night,0
Line_D,day,0
Line_A,day,0
Line_A,night,0
Line_B,day,0
Line_D,day,0
Line_B,night,0
Line_B,day,0
Line_A,day,0
Line_A,day,0
Line_D,night,0
Line_D,night,0
Line_A,day,0
Line_D,day,0
Line_C,night,0
Line_D,day,0
Line_B,night,0
Line_B,night,0
Line_B,day,0
Line_C,day,0
Line_A,day,0
Line_A,night,0
Line_B,day,0
Line_C,night,0
Line_A,day,0
Line_C,night,0
Line_D,night,0
Line_A,day,0
Line_C,night,1
Line_B,day,0
Line_D,night,0
Line_A,night,0
Line_C,day,0
Line_D,day,0
Line_D,day,0
Line_C,day,0
Line_B,day,0
Line_C,day,0
Line_D,night,0
Line_B,day,0
Line_A,day,0
Line_D,day,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_C,day,0
Line_B,day,0
Line_C,day,1
Line_A,day,0
Line_C,night,0
Line_D,day,0
Line_A,day,0
Line_D,night,1
Line_B,day,0
Line_D,night,0
Line_C,night,0
Line_B,day,0
Line_C,day,0
Line_D,day,1
Line_B,night,0
Line_B,day,0
Line_C,day,0
Line_D,day,0
Line_C,night,0
Line_C,night,0
Line_B,day,0
Line_D,day,1
Line_A,day,0
Line_B,day,0
Line_A,day,0
Line_B,night,1
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_B,night,0
Line_B,night,0
Line_A,day,0
Line_B,day,0
Line_A,night,0
Line_A,night,0
Line_C,day,0
Line_C,day,0
Line_C,day,0
Line_B,day,0
Line_B,night,0
Line_D,day,0
Line_B,day,0
Line_B,day,0
Line_A,day,0
Line_B,day,0
Line_B,day,0
Line_B,day,0
Line_B,day,0
Line_B,day,0
Line_C,day,0
Line_C,day,0
Line_D,day,0
Line_C,day,0
Line_D,night,0
Line_A,day,0
Line_A,night,0
Line_A,night,0
Line_C,day,0
Line_D,night,0
Line_A,day,0
Line_D,day,0
Line_A,day,0
Line_D,night,1
Line_B,day,0
Line_A,day,0
Line_B,day,1
Line_A,day,0
Line_A,day,0
Line_B,night,0
Line_D,night,0
Line_B,night,0
Line_B,day,0
Line_C,day,0
Line_C,day,0
Line_A,day,0
Line_B,day,0
Line_A,night,0
Line_A,day,0
Line_C,day,0
Line_A,night,1
Line_B,day,0
Line_C,day,0
Line_A,night,0
Line_B,night,0
Line_A,night,0
Line_D,day,0
Line_B,night,0
Line_D,night,0
Line_B,night,0
Line_A,day,0
Line_C,day,0
Line_D,day,0
Line_C,night,0
Line_D,night,0
